,frame_number,track_id,object_type,xcenter,ycenter,bbox
0,10,6,person,227.67255665294456,452.76196623496946,[193.63592099 361.58473655 261.70919232 543.93919592]
0,10,8,person,996.650111826114,438.71832048249166,[ 966.9793277   359.79932157 1026.32089595  517.63731939]
0,10,9,person,553.4400644263499,438.92425890836057,[530.70605512 369.81954979 576.17407374 508.02896803]
0,10,10,person,165.7958765227799,440.9876415960973,[143.36717635 387.97854142 188.2245767  493.99674177]
0,10,11,person,943.3808137993524,453.05189059289773,[901.46564866 370.55989355 985.29597893 535.54388763]
0,11,1,person,820.8940403545853,482.9421310167883,[746.94465013 314.88478322 894.84343058 650.99947882]
0,11,2,person,287.76680546744507,446.61745634377195,[250.67555233 348.89223551 324.85805861 544.34267717]
0,11,3,person,713.5870197280615,448.0431743470489,[682.25647343 360.9525553  744.91756603 535.13379339]
0,11,4,person,369.36218061973045,452.34855463257884,[333.14475542 373.11632215 405.57960582 531.58078712]
0,11,5,person,598.2026806112451,438.2985065675959,[574.19326395 370.7001119  622.21209727 505.89690123]
0,11,6,person,225.18440224924467,453.1607830791785,[190.58074086 362.57115305 259.78806364 543.75041311]
0,11,8,person,996.8454831013172,443.15126454670053,[ 966.07212805  361.70003326 1027.61883815  524.60249583]
0,11,9,person,552.4273467527696,438.3960794026253,[529.75028385 369.41784253 575.10440965 507.37431628]
0,11,10,person,166.56369539495293,441.00414416302385,[143.92299612 387.34084089 189.20439467 494.66744743]
0,11,11,person,947.8715819066986,453.88726003511204,[905.57723892 370.54427222 990.16592489 537.23024785]
0,12,1,person,814.8434980097086,482.8129010801039,[739.9674177  313.45734004 889.71957831 652.16846212]
0,12,2,person,284.92890945716147,442.0494352982357,[246.9090469  341.38034113 322.94877201 542.71852947]
0,12,3,person,715.060627412724,448.43187178479764,[683.7904895  361.59438848 746.33076533 535.26935509]
0,12,4,person,367.2585125128536,452.7348735223982,[330.79380419 372.34967971 403.72322084 533.12006733]
0,12,5,person,599.8313476246442,438.8331238830814,[576.15270146 371.76110381 623.50999379 505.90514395]
0,12,6,person,222.33534285225645,454.33091397479615,[187.31021681 364.95086919 257.36046889 543.71095875]
0,12,8,person,998.2369188234959,445.82211992276495,[ 966.57520808  361.7864907  1029.89862957  529.85774915]
0,12,9,person,546.7281911989845,438.18718196277246,[523.08906052 368.57688406 570.36732188 507.79747986]
0,12,10,person,166.55435437972693,441.028028447291,[143.89067707 387.3102572  189.21803169 494.74579969]
0,12,11,person,951.6837441908548,454.50233649249105,[909.09971027 370.60154129 994.26777811 538.40313169]
0,13,1,person,804.7846838941098,480.0694279953235,[731.38457356 313.55051425 878.18479423 646.58834174]
0,13,2,person,282.290514318119,439.37088699051685,[244.49219344 338.60276739 320.0888352  540.13900659]
0,13,3,person,716.253574509815,448.2339006902606,[684.59689983 360.50834832 747.91024919 535.95945307]
0,13,4,person,366.2374148028282,451.87980717652937,[329.59271377 370.74089745 402.88211583 533.0187169 ]
0,13,5,person,599.4509536073123,438.34722267063864,[576.01243049 371.45281449 622.88947673 505.24163085]
0,13,6,person,219.01788059636556,456.7932237367162,[183.76119995 368.51575037 254.27456124 545.07069711]
0,13,7,person,860.8499306879125,445.60526378522223,[837.26824051 380.47273173 884.43162087 510.73779584]
0,13,8,person,998.4460778762364,446.8303386879748,[ 965.68422205  359.22094568 1031.20793371  534.43973169]
0,13,9,person,544.6611208129133,437.7703202276513,[520.12419628 367.5869155  569.19804534 507.95372495]
0,13,10,person,168.08444771148203,440.6173146631781,[145.19950285 386.27200762 190.96939257 494.96262171]
